well,combination,percentLys,percentHis,culture
A1,Lys35His65,35,65,coculture
A2,Lys35His65,35,65,coculture
A3,Lys35His65,35,65,coculture
A4,Lys65His35,65,35,coculture
A5,Lys65His35,65,35,coculture
A6,Lys65His35,65,35,coculture
B1,Lys50His50,50,50,coculture
B2,Lys50His50,50,50,coculture
B3,Lys50His50,50,50,coculture
B4,Lys50HisSpoIIE50,50,50,coculture
B5,Lys50HisSpoIIE50,50,50,coculture
B6,Lys50HisSpoIIE50,50,50,coculture
C1,Lys20His80,80,20,coculture
C2,Lys20His80,80,20,coculture
C3,Lys20His80,80,20,coculture
C4,Lys80His20,20,80,coculture
C5,Lys80His20,20,80,coculture
C6,Lys80His20,20,80,coculture
D1,Lys100Mono,100,0,monoculture
D2,Lys100Mono,100,0,monoculture
D3,His100Mono,0,100,monoculture
D4,His100Mono,0,100,monoculture
D5,HisSpoIIE100Mono,0,100,monoculture
D6,HisSpoIIE100Mono,0,100,monoculture